,<built-in function id>,imageLink,origFormat,title
18,https://www.loc.gov/item/2009581665/,//tile.loc.gov/image-services/iiif/service:gmd:gmd409m:g4094m:g4094im:gct00193:ca000001/full/pct:6.25/0/default.jpg#h=554&w=413,map,"Baist's real estate atlas of surveys of Indianapolis and vicinity, Indiana : complete in one volume : compiled and published from official records, private plans and actual surveys"
19,https://www.loc.gov/item/2009581664/,//tile.loc.gov/image-services/iiif/service:gmd:gmd409m:g4094m:g4094im:gct00194:ca000001/full/pct:6.25/0/default.jpg#h=570&w=415,map,"Baist's real estate atlas of surveys of Indianapolis and vicinity, Indiana : complete in one volume : compiled and published from official records, private plans and actual surveys"
20,https://www.loc.gov/item/01017516/,//tile.loc.gov/image-services/iiif/service:gmd:gmd414:g4144:g4144a:pm003820/full/pct:12.5/0/default.jpg#h=562&w=469,map,An illustrated historical atlas of the state of Minnesota.
21,https://www.loc.gov/item/97685001/,//tile.loc.gov/image-services/iiif/service:gmd:gmd414:g4144:g4144w:pm004141/full/pct:12.5/0/default.jpg#h=444&w=808,map,"Map of Winona County, Minnesota. 1867."
22,https://www.loc.gov/item/70654676/,//tile.loc.gov/image-services/iiif/service:gmd:gmd415:g4154:g4154a:pm002051/full/pct:12.5/0/default.jpg#h=648&w=511,map,A. T. Andreas' illustrated historical atlas of the State of Iowa.
23,https://www.loc.gov/item/rc01001392/,//tile.loc.gov/image-services/iiif/service:gmd:gmd416m:g4164m:g4164sm:gpm00001:pa00001d/full/pct:12.5/0/default.jpg#h=510&w=718,map,"Pictorial St. Louis, the great metropolis of the Mississippi valley; a topographical survey drawn in perspective A.D. 1875,"
24,https://www.loc.gov/item/76516940/,//tile.loc.gov/image-services/iiif/service:gmd:gmd6m:g6004m:g6004am:gct00129:ca000001/full/pct:3.125/0/default.jpg#h=259&w=191,map,"Toonneel der steden van de Vereenighde Nederlanden, met hare beschrijvingen"
25,https://www.loc.gov/item/14002124/,//tile.loc.gov/image-services/iiif/service:gmd:gmd7m:g7064m:g7064lm:gct00144:ca000001/full/pct:6.25/0/default.jpg#h=469&w=711,map,Plan stolichnago goroda Sanktpeterburga c izobrazhenïem znashni︠e︡ĭshikh onago prospektov
26,https://www.loc.gov/item/2002626774/,//tile.loc.gov/image-services/iiif/service:gmd:gmd7m:g7401m:g7401pm:gct00372:ca000001/full/pct:6.25/0/default.jpg#h=459&w=751,map,A description of the sea coasts ... in the East Indies
27,https://www.loc.gov/item/75572478/,//tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7504:g7504j:ct000398/full/pct:12.5/0/default.jpg#h=599&w=795,map,Korte beschryvinge van de landschappen des werelts enz.
28,https://www.loc.gov/item/00552972/,//tile.loc.gov/image-services/iiif/service:gmd:gmd7m:g7820m:g7820m:gct00075:ca000053/full/pct:12.5/0/default.jpg#h=533&w=768,map,"Atlas général de la Chine, de la Tartarie chinoise, et du Tibet : pour servir aux différentes descriptions et histoires de cet empire"
29,https://www.loc.gov/item/2002626790/,//tile.loc.gov/image-services/iiif/service:gmd:gmd7m:g7824m:g7824qm:gct00244:ca000001/full/pct:12.5/0/default.jpg#h=672&w=431,map,[Quanzhou Fu yu di tu shuo].
30,https://www.loc.gov/item/97683586/,//tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct000050/full/pct:6.25/0/default.jpg#h=393&w=547,map,Manatvs gelegen op de Noot [sic] Riuier.
31,https://www.loc.gov/item/73696674/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3404:g3404a:ct008123/full/pct:12.5/0/default.jpg#h=772&w=908,map,Vorstellung einiger Gegenden und Plaetze in Nord-America unter Franzoesisch und Englische Jurisdiction gehoerig
32,https://www.loc.gov/item/74691227/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424a:ct008158/full/pct:6.25/0/default.jpg#h=397&w=556,map,"A plan and section of the old wharf, with ye design of a new dock for the navy at Annapolis Royal in Nova Scotia 1756."
33,https://www.loc.gov/item/73696221/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424a:ct008165/full/pct:12.5/0/default.jpg#h=627&w=975,map,"Plan du Port Royal dans l'Acadie, appellé aujourd'. par les Angloise Annapolis Royal."
34,https://www.loc.gov/item/73696301/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424a:ct008166/full/pct:12.5/0/default.jpg#h=672&w=942,map,"Plan du bassin et de la riviere du Port Royal ou Annapolis, dans l'Acadie, sur la côte orientale de la baie Francoise."
35,https://www.loc.gov/item/73693337/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:pm010710/full/pct:6.25/0/default.jpg#h=397&w=699,map,"Panoramic view of the city of Halifax, Nova Scotia 1879."
36,https://www.loc.gov/item/74694515/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008152/full/pct:6.25/0/default.jpg#h=412&w=948,map,"Halifax dockyard with proposed improvements,"
37,https://www.loc.gov/item/74691493/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008153/full/pct:6.25/0/default.jpg#h=408&w=546,map,Plan of the Naval-yard at Halifax.
38,https://www.loc.gov/item/73696322/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008184/full/pct:12.5/0/default.jpg#h=903&w=730,map,"This chart of Chibucto Harbour, on the coast of Accadia, or Nova Scotia, with the plan of the town of Halifax. Carte du havre de Chibucto avec le plan de la ville de Halifax fur la coste de l'Accadia ou Nova Scotia latitude 44⁰.31ʹ."
39,https://www.loc.gov/item/74691494/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008148/full/pct:6.25/0/default.jpg#h=890&w=232,map,"A draught of the harbour of Halifax, Sambro Islands, shoals, ledges of rocks, and soundings, also the rivers Shubenauda & Cobequid Bay."
40,https://www.loc.gov/item/73696222/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008150/full/pct:12.5/0/default.jpg#h=478&w=656,map,"Plan de la baye de Chibouctou nommée par les Anglois Halifax, 1763."
41,https://www.loc.gov/item/73696323/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008149/full/pct:12.5/0/default.jpg#h=683&w=962,map,Plan du port de Chibouctou à la côte de l'Acadie avec les côtes voisines.
42,https://www.loc.gov/item/73696467/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008157/full/pct:12.5/0/default.jpg#h=698&w=988,map,"A chart of the harbour of Halifax, in Nova Scotia; with Jebucto Bay and Cape Sambrô, also the islands, ledges of rocks, shoals & soundings."
43,https://www.loc.gov/item/74694516/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424h:ct008156/full/pct:6.25/0/default.jpg#h=361&w=879,map,Plan of the lines constructing at Halifax for the defense of His Majesty's naval yard.
44,https://www.loc.gov/item/74691225/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424l:ct008141/full/pct:6.25/0/default.jpg#h=399&w=562,map,A plan of Louisbourg.
45,https://www.loc.gov/item/77694213/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424l:ct008143/full/pct:12.5/0/default.jpg#h=588&w=948,map,"A plan of the city, and fortifications, of Louisburg;"
46,https://www.loc.gov/item/2010592486/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424l:ct008144/full/pct:50/0/default.jpg#h=413&w=670,map,A plan of the city of Louisbourg with its fortifications
47,https://www.loc.gov/item/73696225/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424l:ct008140/full/pct:12.5/0/default.jpg#h=626&w=816,map,Plan de la ville de Louisbourg dans l'Isle Royale.
48,https://www.loc.gov/item/73696293/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424l:ar034200/full/pct:12.5/0/default.jpg#h=699&w=954,map,Plan de la ville et du port de Louisbourg levé en 1756.
49,https://www.loc.gov/item/2015655030/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3424:g3424t:pm020531/full/pct:6.25/0/default.jpg#h=452&w=588,map,"Truro, Nova Scotia, 1889"
50,https://www.loc.gov/item/2015587280/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3434:g3434m:pm020530/full/pct:6.25/0/default.jpg#h=518&w=691,map,"Moncton, New Brunswick, 1888"
51,https://www.loc.gov/item/gm71000970/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3454:g3454q:pm010733/full/pct:12.5/0/default.jpg#h=439&w=555,map,"Vue de Quebec, capitale du Canada."
52,https://www.loc.gov/item/2005630142/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3454:g3454q:ct001307/full/pct:25/0/default.jpg#h=658&w=933,map,"Qubbec, ville de l'Amerique septentrionale dans la Nouvelle France avec titre d'Eveché située sur le fleuve de St. Laurens a 310 degrez 17 minutes de longitude et 46 degrez 55 minutes de latitude : elle fut Assiegée par les Anglois sur les Francois par qui elle est encore possédée l'an 1670 depuis le 16e octobre jusqu'au 22e du meme Mois : monsr de frontenac etant pour lors gouverneur du pays qui leur fit hontue sement lever le siege"
53,https://www.loc.gov/item/95684855/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3454:g3454s:pm010737/full/pct:12.5/0/default.jpg#h=770&w=927,map,"Bird's eye view of Sherbrooke, P.Q."
54,https://www.loc.gov/item/00558584/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3460:g3460:ct001305/full/pct:25/0/default.jpg#h=795&w=944,map,Description du pais des Hurons.
55,https://www.loc.gov/item/75696736/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3464:g3464b:pm010690/full/pct:6.25/0/default.jpg#h=440&w=624,map,"Bird's eye view of Brantford, province Ontario, Canada 1875."
56,https://www.loc.gov/item/75696737/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3464:g3464c:pm010700/full/pct:6.25/0/default.jpg#h=556&w=740,map,"[Bird's eye view of Chatham, Ontario."
57,https://www.loc.gov/item/75696739/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3464:g3464o:pm010730/full/pct:6.25/0/default.jpg#h=610&w=789,map,"City of Ottawa, Canada with views of principal business buildings."
58,https://www.loc.gov/item/75696740/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3464:g3464s:pm010740/full/pct:6.25/0/default.jpg#h=432&w=620,map,St. Thomas.
59,https://www.loc.gov/item/99463757/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3484:g3484w:pm010800/full/pct:6.25/0/default.jpg#h=571&w=760,map,Winnipeg
60,https://www.loc.gov/item/75696732/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3514:g3514v:pm010760/full/pct:6.25/0/default.jpg#h=421&w=658,map,"Bird's-eye view of Victoria, Vancouver Island, B.C. 1878."
61,https://www.loc.gov/item/75696734/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3514:g3514v:pm010770/full/pct:6.25/0/default.jpg#h=505&w=755,map,"Victoria, B.C. 1889."
62,https://www.loc.gov/item/75696731/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3514:g3514v:pm010750/full/pct:6.25/0/default.jpg#h=187&w=649,map,"View of Victoria, Vancouver Island."
63,https://www.loc.gov/item/75696733/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3514:g3514v:pm010761/full/pct:6.25/0/default.jpg#h=380&w=547,map,"Victoria, B.C. and vicinity 1884."
64,https://www.loc.gov/item/2002621132/,//tile.loc.gov/image-services/iiif/service:gmd:gmd370:g3700:g3700:ct004512/full/pct:6.25/0/default.jpg#h=418&w=569,map,"The United States of North America, with the British & Spanish territories according to the treaty"
65,https://www.loc.gov/item/98686043/,//tile.loc.gov/image-services/iiif/service:gmd:gmd370:g3701:g3701f:ct000344/full/pct:12.5/0/default.jpg#h=579&w=457,map,"Boundaries between Brownsville, Texas and Matamoros, Tam. (Mexico)"
66,https://www.loc.gov/item/2013593116/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734a:ct003779r/full/pct:6.25/0/default.jpg#h=415&w=734,map,"A plan of Alfred, Maine"
67,https://www.loc.gov/item/2007626387/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734a:pm020170/full/pct:6.25/0/default.jpg#h=376&w=564,map,"Bird's eye view of the city of Augusta, Maine, 1878"
68,https://www.loc.gov/item/75693240/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734b:pm002430/full/pct:12.5/0/default.jpg#h=657&w=866,map,"Bar Harbor, Mt. Desert Island, Maine."
69,https://www.loc.gov/item/83694326/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734b:pm002428/full/pct:6.25/0/default.jpg#h=491&w=602,map,"Bird's eye view of the City of Bangor, Penobscot County, Maine, 1875"
70,https://www.loc.gov/item/2007626398/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734b:ct002262/full/pct:6.25/0/default.jpg#h=937&w=829,map,"Map of the city of Belfast, Waldo Co., Maine"
71,https://www.loc.gov/item/97687303/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734b:pm002432/full/pct:12.5/0/default.jpg#h=539&w=894,map,"Blue Hill, Maine, 1896."
72,https://www.loc.gov/item/83694327/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734b:pm002434/full/pct:12.5/0/default.jpg#h=654&w=926,map,"Bridgton, Maine, U.S.A. : 1888"
73,https://www.loc.gov/item/2007626386/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734c:pm020350/full/pct:6.25/0/default.jpg#h=438&w=663,map,"Cherryfield, Me., Washington Co., 1896."
74,https://www.loc.gov/item/91685205/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734d:pm002433/full/pct:12.5/0/default.jpg#h=724&w=998,map,"Dixfield, Maine, 1896."
75,https://www.loc.gov/item/76695272/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734e:pm002440/full/pct:12.5/0/default.jpg#h=610&w=962,map,"Bird's eye view of Eastport, Washington Co., Maine."
76,https://www.loc.gov/item/78695998/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734f:ct004065/full/pct:6.25/0/default.jpg#h=827&w=636,map,"[Land ownership map of the town of Fryeburg, Maine]."
77,https://www.loc.gov/item/80693968/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734g:pm002441/full/pct:6.25/0/default.jpg#h=369&w=538,map,"Bird's eye view of Gardiner and Pittston, Kennebec Co., Maine, 1878"
78,https://www.loc.gov/item/73694691/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734h:pm002442/full/pct:6.25/0/default.jpg#h=287&w=515,map,"Bird's eye view of the city of Hallowell, Kennebec Co., Maine 1878."
79,https://www.loc.gov/item/75693242/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734h:pm002450/full/pct:6.25/0/default.jpg#h=362&w=533,map,"Houlton, Me. Aroostook County seat."
80,https://www.loc.gov/item/2005628468/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734k:pm011090/full/pct:12.5/0/default.jpg#h=646&w=899,map,"Kennebunk, Me., 1895"
81,https://www.loc.gov/item/2002621454/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734k:pm020010/full/pct:12.5/0/default.jpg#h=619&w=818,map,"Kingfield, Me., Franklin Co., 1895."
82,https://www.loc.gov/item/2009579137/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734l:ct002648/full/pct:3.125/0/default.jpg#h=444&w=518,map,"Map of Lakenwild, Washington County, Maine : owned by Nathan S. Read : 1886"
83,https://www.loc.gov/item/75693243/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734l:pm002460/full/pct:12.5/0/default.jpg#h=632&w=922,map,"Livermore Falls, Maine."
84,https://www.loc.gov/item/84697244/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734m:pm002465/full/pct:12.5/0/default.jpg#h=616&w=980,map,"Machias, Me., 1896"
85,https://www.loc.gov/item/99440240/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734m:ct004066/full/pct:12.5/0/default.jpg#h=635&w=784,map,"Plan of township no. 1, north of Phillips"
86,https://www.loc.gov/item/75693245/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734m:pm002461/full/pct:6.25/0/default.jpg#h=386&w=523,map,"Monhegan, Me."
87,https://www.loc.gov/item/73694689/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734m:pm002462/full/pct:12.5/0/default.jpg#h=558&w=974,map,"Monson, Maine."
88,https://www.loc.gov/item/81693311/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734n:pm002463/full/pct:12.5/0/default.jpg#h=504&w=876,map,"Birds eye view of the villages of New Castle & Damariscotta, Lincoln Co., Maine, 1878"
89,https://www.loc.gov/item/73694690/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734n:pm002464/full/pct:12.5/0/default.jpg#h=560&w=686,map,"North Berwick, York Co., Maine 1877."
90,https://www.loc.gov/item/75693247/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734p:pm002480/full/pct:12.5/0/default.jpg#h=624&w=846,map,"Pittsfield, Maine."
91,https://www.loc.gov/item/75693246/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734p:pm002470/full/pct:6.25/0/default.jpg#h=397&w=619,map,"Peak's Island, Portland harbor, Maine."
92,https://www.loc.gov/item/75693248/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734p:pm002490/full/pct:6.25/0/default.jpg#h=432&w=653,map,"Bird's eye view of the city of Portland, Maine 1876."
93,https://www.loc.gov/item/75693249/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734p:pm002500/full/pct:12.5/0/default.jpg#h=652&w=916,map,"Presque Isle, Aroostook County, Maine."
94,https://www.loc.gov/item/73694688/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734r:pm002501/full/pct:12.5/0/default.jpg#h=582&w=842,map,"Richmond, Sagadahoc Co., Maine 1878."
95,https://www.loc.gov/item/75694500/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734s:pm002510/full/pct:6.25/0/default.jpg#h=314&w=548,map,"Sanford, Maine."
96,https://www.loc.gov/item/2013591357/,//tile.loc.gov/image-services/iiif/service:gmd:gmd376:g3764:g3764s:ct006168/full/pct:6.25/0/default.jpg#h=369&w=608,map,"Skowhegan, ME."
97,https://www.loc.gov/item/2002621456/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734s:pm020030/full/pct:12.5/0/default.jpg#h=488&w=613,map,"South Berwick, York Co., Maine, 1877"
98,https://www.loc.gov/item/83694263/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734t:ct004067/full/pct:12.5/0/default.jpg#h=699&w=556,map,"Plan of the Town of Turner, formerly Silvester Plantation : out side lines and part of the lotts ran out"
99,https://www.loc.gov/item/87694445/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734u:la002353/full/pct:6.25/0/default.jpg#h=421&w=651,map,"A plan showing some of the origional [sic] lots in the town of Union, Knox County, Maine, formerly Sterlingtown"
100,https://www.loc.gov/item/97687304/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734w:pm002511/full/pct:12.5/0/default.jpg#h=542&w=795,map,"Wilton, Me."
101,https://www.loc.gov/item/2002621455/,//tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734w:pm020020/full/pct:12.5/0/default.jpg#h=447&w=626,map,"Birds eye view of the village of Wiscasset, Lincoln Co., Maine, 1878"
102,https://www.loc.gov/item/73694682/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744a:pm004692/full/pct:12.5/0/default.jpg#h=582&w=964,map,"Alton and Alton Bay, N.H. 1888."
103,https://www.loc.gov/item/77691939/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744a:pm004693/full/pct:6.25/0/default.jpg#h=329&w=529,map,"Antrim, N.H. and Clinton Village."
104,https://www.loc.gov/item/75694680/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744a:pm004700/full/pct:12.5/0/default.jpg#h=592&w=532,map,"Ashland, Grafton Co., N.H. 1883."
105,https://www.loc.gov/item/75694681/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744b:pm004710/full/pct:12.5/0/default.jpg#h=678&w=820,map,"Bird's eye view of Bethlehem, Grafton County, N.H. 1883."
106,https://www.loc.gov/item/73694681/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744b:pm004711/full/pct:12.5/0/default.jpg#h=744&w=1010,map,"Bristol, Grafton County, N.H. 1884."
107,https://www.loc.gov/item/73693496/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:pm004720/full/pct:12.5/0/default.jpg#h=808&w=1016,map,"Birds eye view of Claremont, Sullivan County, N.H. 1877."
108,https://www.loc.gov/item/78696403/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:ct005616/full/pct:12.5/0/default.jpg#h=699&w=462,map,The Saint-Gaudens National Historic Site
109,https://www.loc.gov/item/98684756/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:ct005617/full/pct:6.25/0/default.jpg#h=600&w=318,map,"Saint-Gaudens National Historic Site, New Hampshire"
110,https://www.loc.gov/item/98684757/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:ct005618/full/pct:6.25/0/default.jpg#h=600&w=318,map,"Saint-Gaudens National Historic Site, New Hampshire"
111,https://www.loc.gov/item/98684836/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:ct005619/full/pct:6.25/0/default.jpg#h=600&w=318,map,"Saint-Gaudens National Historic Site, New Hampshire"
112,https://www.loc.gov/item/99462708/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:ct005620/full/pct:6.25/0/default.jpg#h=600&w=318,map,"Saint-Gaudens National Historic Site, New Hampshire"
113,https://www.loc.gov/item/2005628143/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:ct005621/full/pct:6.25/0/default.jpg#h=600&w=318,map,"Saint-Gaudens National Historic Site, New Hampshire"
114,https://www.loc.gov/item/2005628327/,//tile.loc.gov/image-services/iiif/service:gmd:gmd374:g3744:g3744c:ct005622/full/pct:6.25/0/default.jpg#h=600&w=318,map,"Saint-Gaudens National Historic Site, New Hampshire"
